SMILES,vpa,Adduct,mz
C[N+](C)(C)CCO,79.66666666666666,[M+H]+,105.11426694017999
C[N+](C)(C)CCO,79.66666666666666,[M+Na]+,127.09621118817999
C[N+](C)(C)CCO,79.66666666666666,[M-H]-,103.099714036
O[C@@H]1COC(O)[C@H](O)[C@H]1O,84.83333333333333,[M+H]+,151.06009987209
O[C@@H]1COC(O)[C@H](O)[C@H]1O,84.83333333333333,[M+Na]+,173.04204412009
O[C@@H]1COC(O)[C@H](O)[C@H]1O,84.83333333333333,[M-H]-,149.04554696791
N[C@@H](CCSC[C@H](N)C(O)=O)C(O)=O,127.56666666666665,[M+H]+,223.07470438009
N[C@@H](CCSC[C@H](N)C(O)=O)C(O)=O,127.56666666666665,[M+Na]+,245.05664862809
N[C@@H](CCSC[C@H](N)C(O)=O)C(O)=O,127.56666666666665,[M-H]-,221.06015147591
NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC=N1,139.6,[M+H]+,252.10911572809
NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC=N1,139.6,[M+Na]+,274.09105997609
NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC=N1,139.6,[M-H]-,250.09456282391
OC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO,105.6,[M+H]+,183.08631462009
OC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO,105.6,[M+Na]+,205.06825886809003
OC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO,105.6,[M-H]-,181.07176171591001
CCO,38.50000000000001,[M+H]+,47.04914126409
CCO,38.50000000000001,[M+Na]+,69.03108551209
CCO,38.50000000000001,[M-H]-,45.03458835991
NCCCC(O)=O,70.06666666666668,[M+H]+,104.07060498009
NCCCC(O)=O,70.06666666666668,[M+Na]+,126.05254922809
NCCCC(O)=O,70.06666666666668,[M-H]-,102.05605207591
NCCOP(O)(=O)OCC(O)CO,118.5,[M+H]+,216.06315025009
NCCOP(O)(=O)OCC(O)CO,118.5,[M+Na]+,238.04509449809
NCCOP(O)(=O)OCC(O)CO,118.5,[M-H]-,214.04859734591
OCC(O)=O,46.3,[M+H]+,77.02332044009
OCC(O)=O,46.3,[M+Na]+,99.00526468809001
OCC(O)=O,46.3,[M-H]-,75.00876753591001
COC1=C(O)C=CC(CC(O)=O)=C1,108.9,[M+H]+,183.06518525209
COC1=C(O)C=CC(CC(O)=O)=C1,108.9,[M+Na]+,205.04712950009002
COC1=C(O)C=CC(CC(O)=O)=C1,108.9,[M-H]-,181.05063234791
OC(=O)C=O,42.43333333333333,[M+H]+,75.00767037608999
OC(=O)C=O,42.43333333333333,[M+Na]+,96.98961462409
OC(=O)C=O,42.43333333333333,[M-H]-,72.99311747191
NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,238.56666666666666,[M+H]+,442.14695778009053
NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,238.56666666666666,[M+Na]+,464.1289020280905
NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,238.56666666666666,[M-H]-,440.1324048759105
OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,97.76666666666667,[M+H]+,181.07066455609
OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,97.76666666666667,[M+Na]+,203.05260880409003
OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,97.76666666666667,[M-H]-,179.05611165191002
NCC(O)=O,48.36666666666666,[M+H]+,76.03930485209
